n;k;elapsed;mean_elapsed
10000000.0;1;[3, 3, 3, 3, 3, 5, 3, 3, 2, 3];3.1
10000000.0;2;[2, 2, 2, 2, 2, 2, 2, 2, 2, 2];2.0
10000000.0;4;[2, 2, 3, 2, 2, 2, 1, 1, 2, 3];2.0
10000000.0;8;[2, 1, 2, 2, 2, 2, 2, 2, 3, 1];1.9
10000000.0;16;[3, 2, 1, 1, 1, 1, 1, 2, 1, 1];1.4
10000000.0;32;[2, 2, 3, 3, 1, 1, 1, 2, 1, 1];1.7
10000000.0;64;[4, 2, 2, 1, 1, 2, 1, 1, 1, 1];1.6
10000000.0;128;[5, 1, 1, 1, 1, 1, 1, 1, 1, 1];1.4
10000000.0;256;[5, 2, 2, 2, 2, 3, 3, 2, 2, 3];2.6
100000000.0;1;[26, 37, 27, 26, 33, 27, 29, 28, 27, 27];28.7
100000000.0;2;[21, 19, 19, 23, 21, 21, 24, 19, 21, 22];21.0
100000000.0;4;[24, 22, 20, 24, 21, 20, 16, 17, 16, 16];19.6
100000000.0;8;[19, 17, 16, 17, 16, 15, 17, 20, 18, 17];17.2
100000000.0;16;[14, 15, 16, 16, 17, 15, 13, 14, 14, 14];14.8
100000000.0;32;[15, 17, 16, 16, 16, 16, 16, 16, 16, 18];16.2
100000000.0;64;[17, 17, 17, 19, 19, 21, 19, 18, 18, 13];17.8
100000000.0;128;[22, 20, 20, 19, 26, 22, 21, 20, 23, 21];21.4
100000000.0;256;[29, 33, 25, 25, 24, 24, 23, 23, 23, 25];25.4
1000000000.0;1;[538, 358, 356, 330, 350, 387, 380, 359, 355, 359];377.2
1000000000.0;2;[254, 234, 274, 284, 292, 262, 241, 263, 270, 237];261.1
1000000000.0;4;[236, 238, 227, 330, 286, 292, 242, 238, 282, 286];265.7
1000000000.0;8;[209, 177, 176, 181, 180, 184, 187, 185, 181, 204];186.4
1000000000.0;16;[159, 159, 159, 154, 159, 159, 158, 154, 159, 149];156.9
1000000000.0;32;[151, 157, 149, 155, 147, 161, 145, 167, 152, 151];153.5
1000000000.0;64;[148, 145, 148, 146, 145, 152, 151, 144, 146, 145];147.0
1000000000.0;128;[145, 132, 138, 135, 140, 133, 138, 137, 135, 142];137.5
1000000000.0;256;[153, 160, 162, 159, 157, 137, 135, 138, 133, 136];147.0
